URL,Content_Type,Source,Category,Title,Image
https://www.ted.com/talks/raj_panjabi_no_one_should_die_because_they_live_too_far_from_a_doctor,Videos,TED,Curiosity,,
https://www.ted.com/talks/matthew_winkler_what_makes_a_hero,Videos,TED,Curiosity,,
https://www.ted.com/talks/janet_iwasa_why_it_s_so_hard_to_cure_hiv_aids,Videos,TED,Curiosity,,
https://www.ted.com/talks/emma_bryce_what_really_happens_to_the_plastic_you_throw_away,Videos,TED,Curiosity,,
https://www.ted.com/talks/betsy_schwarm_why_should_you_listen_to_vivaldi_s_four_seasons,Videos,TED,Curiosity,,
https://www.ted.com/talks/anita_collins_how_playing_an_instrument_benefits_your_brain,Videos,TED,Curiosity,,
https://www.ted.com/talks/lidia_yuknavitch_the_beauty_of_being_a_misfit,Videos,TED,Curiosity,,
https://www.ted.com/talks/scott_dinsmore_how_to_find_work_you_love,Videos,TED,Curiosity,,
https://www.ted.com/talks/helen_m_farrell_what_is_bipolar_disorder,Videos,TED,Curiosity,,
https://www.ted.com/talks/mikael_cho_the_science_of_stage_fright_and_how_to_overcome_it,Videos,TED,Curiosity,,
https://www.ted.com/talks/eleanor_nelsen_would_you_sacrifice_one_person_to_save_five,Videos,TED,Curiosity,,
https://www.ted.com/talks/larry_lagerstrom_einstein_s_miracle_year,Videos,TED,Curiosity,,
https://www.ted.com/talks/claudia_aguirre_what_would_happen_if_you_didn_t_sleep,Videos,TED,Curiosity,,
https://www.ted.com/talks/angela_koine_flynn_the_science_of_skin_color,Videos,TED,Curiosity,,
https://www.ted.com/talks/eric_liu_how_to_understand_power,Videos,TED,Curiosity,,
https://www.ted.com/talks/doug_levinson_what_gives_a_dollar_bill_its_value,Videos,TED,Curiosity,,
https://www.ted.com/talks/arleen_sugano_the_physics_of_the_hardest_move_in_ballet,Videos,TED,Curiosity,,
https://www.ted.com/talks/tony_buffington_why_do_cats_act_so_weird,Videos,TED,Curiosity,,
https://www.ted.com/talks/hannah_fry_the_mathematics_of_love,Videos,TED,Curiosity,,
https://www.ted.com/talks/david_rothkopf_how_fear_drives_american_politics,Videos,TED,Curiosity,,
https://www.ted.com/talks/david_miliband_the_refugee_crisis_is_a_test_of_our_character,Videos,TED,Curiosity,,
https://www.ted.com/talks/margaret_heffernan_why_it_s_time_to_forget_the_pecking_order_at_work,Videos,TED,Curiosity,,
https://www.ted.com/talks/kio_stark_why_you_should_talk_to_strangers,Videos,TED,Curiosity,,
https://www.ted.com/talks/brian_little_who_are_you_really_the_puzzle_of_personality,Videos,TED,Curiosity,,
https://www.ted.com/talks/pico_iyer_the_art_of_stillness,Videos,TED,Curiosity,,
https://www.ted.com/talks/siddhartha_mukherjee_soon_we_ll_cure_diseases_with_a_cell_not_a_pill,Videos,TED,Curiosity,,
https://www.ted.com/talks/carrie_nugent_adventures_of_an_asteroid_hunter,Videos,TED,Curiosity,,
https://www.ted.com/talks/kenneth_lacovara_hunting_for_dinosaurs_showed_me_our_place_in_the_universe,Videos,TED,Curiosity,,
https://www.ted.com/talks/joy_buolamwini_how_i_m_fighting_bias_in_algorithms,Videos,TED,Curiosity,,
https://www.ted.com/talks/margaret_bourdeaux_why_civilians_suffer_more_once_a_war_is_over,Videos,TED,Curiosity,,
https://www.ted.com/talks/natasha_hurley_walker_how_radio_telescopes_show_us_unseen_galaxies,Videos,TED,Curiosity,,
https://www.ted.com/talks/david_baron_you_owe_it_to_yourself_to_experience_a_total_solar_eclipse,Videos,TED,Curiosity,,
https://www.ted.com/talks/amy_adele_hasinoff_how_to_practice_safe_sexting,Videos,TED,Curiosity,,
https://www.ted.com/talks/john_koenig_beautiful_new_words_to_describe_obscure_emotions,Videos,TED,Curiosity,,
https://www.ted.com/talks/curtis_wall_street_carroll_how_i_learned_to_read_and_trade_stocks_in_prison,Videos,TED,Curiosity,,
https://www.ted.com/talks/tricia_wang_the_human_insights_missing_from_big_data,Videos,TED,Curiosity,,
https://www.ted.com/talks/ani_liu_smelfies_and_other_experiments_in_synthetic_biology,Videos,TED,Curiosity,,
https://www.ted.com/talks/dan_bell_inside_america_s_dead_shopping_malls,Videos,TED,Curiosity,,
https://www.ted.com/talks/siddhartha_roy_science_in_service_to_the_public_good,Videos,TED,Curiosity,,
https://www.ted.com/talks/liz_hajek_what_rivers_can_tell_us_about_the_earth_s_history,Videos,TED,Curiosity,,
https://www.ted.com/talks/amel_karboul_the_global_learning_crisis_and_what_to_do_about_it,Videos,TED,Curiosity,,
https://www.ted.com/talks/paul_hessburg_why_wildfires_have_gotten_worse_and_how_we_can_stop_them,Videos,TED,Curiosity,,
https://www.ted.com/talks/robert_muggah_the_biggest_risks_facing_cities_and_some_solutions,Videos,TED,Curiosity,,
https://www.ted.com/talks/jackson_bird_how_to_talk_and_listen_to_transgender_people,Videos,TED,Curiosity,,
https://www.ted.com/talks/beth_malone_how_my_dad_s_dementia_changed_my_idea_of_death_and_life,Videos,TED,Curiosity,,
https://www.ted.com/talks/niti_bhan_the_hidden_opportunities_of_the_informal_economy,Videos,TED,Curiosity,,
https://www.ted.com/talks/nnedi_okorafor_sci_fi_stories_that_imagine_a_future_africa,Videos,TED,Curiosity,,
https://www.ted.com/talks/mariano_sigman_and_dan_ariely_how_can_groups_make_good_decisions,Videos,TED,Curiosity,,
https://www.ted.com/talks/washington_wachira_for_the_love_of_birds,Videos,TED,Curiosity,,
https://www.ted.com/talks/keller_rinaudo_how_we_re_using_drones_to_deliver_blood_and_save_lives,Videos,TED,Curiosity,,
https://www.ted.com/talks/ameenah_gurib_fakim_an_interview_with_mauritius_s_first_female_president,Videos,TED,Curiosity,,
https://www.ted.com/talks/g_t_bynum_a_republican_mayor_s_plan_to_replace_partisanship_with_policy,Videos,TED,Curiosity,,
https://www.ted.com/talks/victoria_pratt_how_judges_can_show_respect,Videos,TED,Curiosity,,
https://www.ted.com/talks/lloyd_pendleton_the_housing_first_approach_to_homelessness,Videos,TED,Curiosity,,
https://www.ted.com/talks/christen_reighter_i_don_t_want_children_stop_telling_me_i_ll_change_my_mind,Videos,TED,Curiosity,,
https://www.ted.com/talks/scott_galloway_how_amazon_apple_facebook_and_google_manipulate_our_emotions,Videos,TED,Curiosity,,
https://www.ted.com/talks/giulia_enders_the_surprisingly_charming_science_of_our_gut,Videos,TED,Curiosity,,
