URL,Content_type,Source,Category,Range,Title,Content_image
https://www.youtube.com/watch?v=4Su5pDR2cTs,Lectures,Yale,Enrionmental,1,01.  Introduction  to  Atmospheres,https://i.ytimg.com/vi/4Su5pDR2cTs/hqdefault.jpg
https://www.youtube.com/watch?v=Gie8L8slnSs,Lectures,Yale,Enrionmental,2,02.  Retaining  an  Atmosphere,https://i.ytimg.com/vi/Gie8L8slnSs/hqdefault.jpg
https://www.youtube.com/watch?v=0y0lGAeMH9g,Lectures,Yale,Enrionmental,3,03.  The  Perfect  Gas  Law,https://i.ytimg.com/vi/0y0lGAeMH9g/hqdefault.jpg
https://www.youtube.com/watch?v=2G4mQNgOXes,Lectures,Yale,Enrionmental,4,04.  Vertical  Structure  of  the  atmosphere;  Residence  Time,https://i.ytimg.com/vi/2G4mQNgOXes/hqdefault.jpg
https://www.youtube.com/watch?v=3o91dQqSNlI,Lectures,Yale,Enrionmental,5,05.  Earth  Systems  Analysis  (Tank  Experiment),https://i.ytimg.com/vi/3o91dQqSNlI/hqdefault.jpg
https://www.youtube.com/watch?v=hJjyCzXUGCQ,Lectures,Yale,Enrionmental,6,"06.  Greenhouse  Effect,  Habitability",https://i.ytimg.com/vi/hJjyCzXUGCQ/hqdefault.jpg
https://www.youtube.com/watch?v=3vUdXtCbCIw,Lectures,Yale,Enrionmental,7,07.  Hydrostatic  Balance,https://i.ytimg.com/vi/3vUdXtCbCIw/hqdefault.jpg
https://www.youtube.com/watch?v=GBhcV2tXq_8,Lectures,Yale,Enrionmental,8,08.  Horizontal  Transport,https://i.ytimg.com/vi/GBhcV2tXq_8/hqdefault.jpg
https://www.youtube.com/watch?v=I9MVmRCz9-M,Lectures,Yale,Enrionmental,9,09.  Water  in  the  Atmosphere  I,https://i.ytimg.com/vi/I9MVmRCz9-M/hqdefault.jpg
https://www.youtube.com/watch?v=H00k5gMSM9E,Lectures,Yale,Enrionmental,10,10.  Water  in  the  Atmosphere  II,https://i.ytimg.com/vi/H00k5gMSM9E/hqdefault.jpg
https://www.youtube.com/watch?v=QO-zH0Uf17o,Lectures,Yale,Enrionmental,11,11.  Clouds  and  Precipitation  (cloud  chamber  experiment),https://i.ytimg.com/vi/QO-zH0Uf17o/hqdefault.jpg
https://www.youtube.com/watch?v=VwGGlq2pY8Y,Lectures,Yale,Enrionmental,12,12.  Circulation  of  the  Atmosphere  (Exam  I  review),https://i.ytimg.com/vi/VwGGlq2pY8Y/hqdefault.jpg
https://www.youtube.com/watch?v=NzlLvJAsZPo,Lectures,Yale,Enrionmental,13,13.  Global  Climate  and  the  Coriolis  Force,https://i.ytimg.com/vi/NzlLvJAsZPo/hqdefault.jpg
https://www.youtube.com/watch?v=8xPAx5IJbX0,Lectures,Yale,Enrionmental,14,14.  Coriolis  Force  and  Storms,https://i.ytimg.com/vi/8xPAx5IJbX0/hqdefault.jpg
https://www.youtube.com/watch?v=TRbOwnWzsfk,Lectures,Yale,Enrionmental,15,15.  Convective  storms,https://i.ytimg.com/vi/TRbOwnWzsfk/hqdefault.jpg
https://www.youtube.com/watch?v=Jg81YhJDn_M,Lectures,Yale,Enrionmental,16,16.  Frontal  Cyclones,https://i.ytimg.com/vi/Jg81YhJDn_M/hqdefault.jpg
